Benchmark,calls,score
Richards,direct,10749
DeltaBlue,direct,19068
Crypto,direct,10693
RayTrace,direct,26586
EarleyBoyer,direct,17307
RegExp,direct,2309
Splay,direct,9502
SplayLatency,direct,25321
NavierStokes,direct,12036
PdfJS,direct,7459
Mandreel,direct,9456
MandreelLatency,direct,21035
Gameboy,direct,15866
CodeLoad,direct,9561
Box2D,direct,10716
zlib,direct,26216
Typescript,direct,16589
Score (version 9),direct,12847
Richards,direct,10760
DeltaBlue,direct,18930
Crypto,direct,10683
RayTrace,direct,26660
EarleyBoyer,direct,17382
RegExp,direct,2275
Splay,direct,9746
SplayLatency,direct,25214
NavierStokes,direct,12048
PdfJS,direct,6874
Mandreel,direct,9447
MandreelLatency,direct,20102
Gameboy,direct,17254
CodeLoad,direct,9572
Box2D,direct,11363
zlib,direct,26230
Typescript,direct,16726
Score (version 9),direct,12871
Richards,direct,10753
DeltaBlue,direct,19101
Crypto,direct,10655
RayTrace,direct,26513
EarleyBoyer,direct,17273
RegExp,direct,2302
Splay,direct,9355
SplayLatency,direct,24927
NavierStokes,direct,12036
PdfJS,direct,7087
Mandreel,direct,9474
MandreelLatency,direct,21214
Gameboy,direct,16574
CodeLoad,direct,9737
Box2D,direct,10281
zlib,direct,26185
Typescript,direct,16440
Score (version 9),direct,12793
Richards,direct,10753
DeltaBlue,direct,18771
Crypto,direct,10695
RayTrace,direct,26640
EarleyBoyer,direct,17251
RegExp,direct,2302
Splay,direct,9730
SplayLatency,direct,26382
NavierStokes,direct,12036
PdfJS,direct,6990
Mandreel,direct,9465
MandreelLatency,direct,20265
Gameboy,direct,17344
CodeLoad,direct,9568
Box2D,direct,11952
zlib,direct,26194
Typescript,direct,16650
Score (version 9),direct,12958
Richards,direct,10757
DeltaBlue,direct,18771
Crypto,direct,10689
RayTrace,direct,27010
EarleyBoyer,direct,16987
RegExp,direct,2282
Splay,direct,9217
SplayLatency,direct,21248
NavierStokes,direct,12048
PdfJS,direct,7052
Mandreel,direct,9438
MandreelLatency,direct,21124
Gameboy,direct,17368
CodeLoad,direct,9603
Box2D,direct,11307
zlib,direct,26140
Typescript,direct,16615
Score (version 9),direct,12740
Richards,direct,10753
DeltaBlue,direct,19009
Crypto,direct,10701
RayTrace,direct,26613
EarleyBoyer,direct,16904
RegExp,direct,2315
Splay,direct,9388
SplayLatency,direct,24651
NavierStokes,direct,12036
PdfJS,direct,7542
Mandreel,direct,9317
MandreelLatency,direct,20859
Gameboy,direct,17295
CodeLoad,direct,9572
Box2D,direct,10747
zlib,direct,26239
Typescript,direct,16437
Score (version 9),direct,12854
Richards,direct,10757
DeltaBlue,direct,18784
Crypto,direct,10706
RayTrace,direct,26714
EarleyBoyer,direct,17192
RegExp,direct,2309
Splay,direct,9649
SplayLatency,direct,25651
NavierStokes,direct,12036
PdfJS,direct,7087
Mandreel,direct,9474
MandreelLatency,direct,21035
Gameboy,direct,17360
CodeLoad,direct,9566
Box2D,direct,11240
zlib,direct,26207
Typescript,direct,16589
Score (version 9),direct,12924
Richards,direct,10746
DeltaBlue,direct,18910
Crypto,direct,10701
RayTrace,direct,26418
EarleyBoyer,direct,17023
RegExp,direct,2322
Splay,direct,9657
SplayLatency,direct,25467
NavierStokes,direct,12036
PdfJS,direct,6835
Mandreel,direct,9492
MandreelLatency,direct,20431
Gameboy,direct,17393
CodeLoad,direct,9582
Box2D,direct,11834
zlib,direct,26234
Typescript,direct,16641
Score (version 9),direct,12908
Richards,direct,10742
DeltaBlue,direct,19082
Crypto,direct,10701
RayTrace,direct,26983
EarleyBoyer,direct,17389
RegExp,direct,2293
Splay,direct,9233
SplayLatency,direct,24663
NavierStokes,direct,12036
PdfJS,direct,6955
Mandreel,direct,9447
MandreelLatency,direct,20859
Gameboy,direct,17254
CodeLoad,direct,9570
Box2D,direct,11397
zlib,direct,26158
Typescript,direct,16497
Score (version 9),direct,12860
Richards,direct,10746
DeltaBlue,direct,18778
Crypto,direct,10699
RayTrace,direct,26613
EarleyBoyer,direct,17308
RegExp,direct,2275
Splay,direct,9062
SplayLatency,direct,22468
NavierStokes,direct,12048
PdfJS,direct,6962
Mandreel,direct,9456
MandreelLatency,direct,21214
Gameboy,direct,17344
CodeLoad,direct,9600
Box2D,direct,10769
zlib,direct,26149
Typescript,direct,16594
Score (version 9),direct,12727
Richards,direct,10771
DeltaBlue,direct,19075
Crypto,direct,10708
RayTrace,direct,26291
EarleyBoyer,direct,17024
RegExp,direct,2322
Splay,direct,9616
SplayLatency,direct,25448
NavierStokes,direct,12048
PdfJS,direct,6908
Mandreel,direct,9430
MandreelLatency,direct,20102
Gameboy,direct,17328
CodeLoad,direct,9574
Box2D,direct,11363
zlib,direct,26203
Typescript,direct,16508
Score (version 9),direct,12860
Richards,direct,10749
DeltaBlue,direct,18870
Crypto,direct,10725
RayTrace,direct,26169
EarleyBoyer,direct,17232
RegExp,direct,2293
Splay,direct,9184
SplayLatency,direct,24561
NavierStokes,direct,12036
PdfJS,direct,7031
Mandreel,direct,9474
MandreelLatency,direct,21124
Gameboy,direct,16558
CodeLoad,direct,9692
Box2D,direct,10281
zlib,direct,26171
Typescript,direct,16404
Score (version 9),direct,12734
Richards,direct,10753
DeltaBlue,direct,18646
Crypto,direct,10618
RayTrace,direct,26640
EarleyBoyer,direct,17013
RegExp,direct,2311
Splay,direct,9404
SplayLatency,direct,25750
NavierStokes,direct,12036
PdfJS,direct,7017
Mandreel,direct,9465
MandreelLatency,direct,20431
Gameboy,direct,17360
CodeLoad,direct,9616
Box2D,direct,11307
zlib,direct,26234
Typescript,direct,16602
Score (version 9),direct,12866
Richards,direct,10771
DeltaBlue,direct,19088
Crypto,direct,10681
RayTrace,direct,26344
EarleyBoyer,direct,16998
RegExp,direct,2315
Splay,direct,9494
SplayLatency,direct,25163
NavierStokes,direct,12036
PdfJS,direct,6983
Mandreel,direct,9483
MandreelLatency,direct,20515
Gameboy,direct,17279
CodeLoad,direct,9576
Box2D,direct,11274
