Benchmark,calls,score
Richards,direct,3590
DeltaBlue,direct,6083
Crypto,direct,5183
RayTrace,direct,7584
EarleyBoyer,direct,4756
RegExp,direct,744
Splay,direct,3281
SplayLatency,direct,8170
NavierStokes,direct,5046
PdfJS,direct,1888
Mandreel,direct,2770
MandreelLatency,direct,6594
Gameboy,direct,3824
CodeLoad,direct,3213
Box2D,direct,3133
zlib,direct,12183
Typescript,direct,4923
Score (version 9),direct,4154
Richards,direct,3587
DeltaBlue,direct,6063
Crypto,direct,5155
RayTrace,direct,7481
EarleyBoyer,direct,4757
RegExp,direct,750
Splay,direct,3235
SplayLatency,direct,8146
NavierStokes,direct,5053
PdfJS,direct,1885
Mandreel,direct,2766
MandreelLatency,direct,6612
Gameboy,direct,3848
CodeLoad,direct,3234
Box2D,direct,3067
zlib,direct,12120
Typescript,direct,4794
Score (version 9),direct,4137
Richards,direct,3544
DeltaBlue,direct,5865
Crypto,direct,5164
RayTrace,direct,7474
EarleyBoyer,direct,4621
RegExp,direct,748
Splay,direct,3015
SplayLatency,direct,9564
NavierStokes,direct,5057
PdfJS,direct,1909
Mandreel,direct,2751
MandreelLatency,direct,6656
Gameboy,direct,3363
CodeLoad,direct,3226
Box2D,direct,3273
zlib,direct,12222
Typescript,direct,4813
Score (version 9),direct,4130
Richards,direct,3580
DeltaBlue,direct,6096
Crypto,direct,5200
RayTrace,direct,7533
EarleyBoyer,direct,4732
RegExp,direct,750
Splay,direct,3284
SplayLatency,direct,9307
NavierStokes,direct,5046
PdfJS,direct,1947
Mandreel,direct,2767
MandreelLatency,direct,6692
Gameboy,direct,3846
CodeLoad,direct,3236
Box2D,direct,3320
zlib,direct,12216
Typescript,direct,4799
Score (version 9),direct,4209
Richards,direct,3583
DeltaBlue,direct,6123
Crypto,direct,5060
RayTrace,direct,7599
EarleyBoyer,direct,4771
RegExp,direct,754
Splay,direct,3232
SplayLatency,direct,9201
NavierStokes,direct,5057
PdfJS,direct,2268
Mandreel,direct,2766
MandreelLatency,direct,6783
Gameboy,direct,3251
CodeLoad,direct,3233
Box2D,direct,3257
zlib,direct,12211
Typescript,direct,4963
Score (version 9),direct,4206
Richards,direct,3583
DeltaBlue,direct,6136
Crypto,direct,5179
RayTrace,direct,7569
EarleyBoyer,direct,4730
RegExp,direct,748
