Benchmark,calls,score
Richards,direct,9630
DeltaBlue,direct,16457
Crypto,direct,9565
RayTrace,direct,22769
EarleyBoyer,direct,14991
RegExp,direct,1994
Splay,direct,8059
SplayLatency,direct,20978
NavierStokes,direct,10758
PdfJS,direct,5753
Mandreel,direct,7940
MandreelLatency,direct,17250
Gameboy,direct,14153
CodeLoad,direct,8475
Box2D,direct,8021
zlib,direct,23338
Typescript,direct,14186
Score (version 9),direct,10954
Richards,direct,9627
DeltaBlue,direct,16721
Crypto,direct,9555
RayTrace,direct,23212
EarleyBoyer,direct,14919
RegExp,direct,2004
Splay,direct,7595
SplayLatency,direct,20766
NavierStokes,direct,10758
PdfJS,direct,5892
Mandreel,direct,7955
MandreelLatency,direct,17370
Gameboy,direct,14191
CodeLoad,direct,8376
Box2D,direct,8029
zlib,direct,23327
Typescript,direct,14150
Score (version 9),direct,10946
Richards,direct,9623
DeltaBlue,direct,16748
Crypto,direct,9582
RayTrace,direct,23387
EarleyBoyer,direct,15272
RegExp,direct,2009
Splay,direct,7905
SplayLatency,direct,20964
NavierStokes,direct,10758
PdfJS,direct,5808
Mandreel,direct,7932
MandreelLatency,direct,17190
Gameboy,direct,14089
CodeLoad,direct,8499
Box2D,direct,6931
zlib,direct,23313
Typescript,direct,14216
Score (version 9),direct,10896
Richards,direct,9630
DeltaBlue,direct,16761
Crypto,direct,9505
RayTrace,direct,23189
EarleyBoyer,direct,15012
RegExp,direct,2007
Splay,direct,8043
SplayLatency,direct,21039
NavierStokes,direct,10758
PdfJS,direct,5847
Mandreel,direct,7955
MandreelLatency,direct,17250
Gameboy,direct,14140
CodeLoad,direct,8487
Box2D,direct,8658
zlib,direct,23334
Typescript,direct,14081
Score (version 9),direct,11036
Richards,direct,9637
DeltaBlue,direct,16483
Crypto,direct,9467
RayTrace,direct,23240
EarleyBoyer,direct,15174
RegExp,direct,2000
Splay,direct,7701
SplayLatency,direct,19091
NavierStokes,direct,10769
PdfJS,direct,5836
Mandreel,direct,7977
MandreelLatency,direct,17492
Gameboy,direct,14210
CodeLoad,direct,8520
Box2D,direct,8021
zlib,direct,23331
Typescript,direct,14202
Score (version 9),direct,10911
Richards,direct,9641
DeltaBlue,direct,16695
Crypto,direct,9555
RayTrace,direct,23582
EarleyBoyer,direct,15072
RegExp,direct,2004
Splay,direct,7799
SplayLatency,direct,20604
NavierStokes,direct,10758
PdfJS,direct,5699
Mandreel,direct,7932
MandreelLatency,direct,17014
Gameboy,direct,14077
CodeLoad,direct,8580
Box2D,direct,6938
zlib,direct,23302
Typescript,direct,14301
Score (version 9),direct,10860
Richards,direct,9634
DeltaBlue,direct,16662
Crypto,direct,9583
RayTrace,direct,23263
EarleyBoyer,direct,14865
RegExp,direct,2004
Splay,direct,7766
SplayLatency,direct,21703
NavierStokes,direct,10758
PdfJS,direct,5858
Mandreel,direct,8008
MandreelLatency,direct,17492
Gameboy,direct,14108
CodeLoad,direct,8521
Box2D,direct,6904
zlib,direct,23338
Typescript,direct,14215
Score (version 9),direct,10906
Richards,direct,9637
DeltaBlue,direct,16867
Crypto,direct,9528
RayTrace,direct,23532
EarleyBoyer,direct,14927
RegExp,direct,2030
Splay,direct,7726
SplayLatency,direct,19972
NavierStokes,direct,10758
PdfJS,direct,5909
Mandreel,direct,7955
MandreelLatency,direct,17310
Gameboy,direct,14140
CodeLoad,direct,8561
Box2D,direct,7435
zlib,direct,23313
Typescript,direct,14188
Score (version 9),direct,10917
Richards,direct,9616
DeltaBlue,direct,16536
Crypto,direct,9565
RayTrace,direct,23310
EarleyBoyer,direct,15113
RegExp,direct,2015
Splay,direct,7986
SplayLatency,direct,20757
NavierStokes,direct,10758
PdfJS,direct,5656
Mandreel,direct,7962
MandreelLatency,direct,17310
Gameboy,direct,14096
CodeLoad,direct,8489
Box2D,direct,7553
zlib,direct,23334
Typescript,direct,14097
Score (version 9),direct,10920
Richards,direct,9630
DeltaBlue,direct,16675
Crypto,direct,9514
RayTrace,direct,23115
EarleyBoyer,direct,14973
RegExp,direct,1988
Splay,direct,7766
SplayLatency,direct,21176
NavierStokes,direct,10758
PdfJS,direct,5699
Mandreel,direct,7940
MandreelLatency,direct,17250
Gameboy,direct,14146
CodeLoad,direct,8440
Box2D,direct,7561
zlib,direct,23320
Typescript,direct,14136
Score (version 9),direct,10899
Richards,direct,9637
DeltaBlue,direct,16523
Crypto,direct,9613
RayTrace,direct,23088
EarleyBoyer,direct,15097
RegExp,direct,2026
Splay,direct,7782
SplayLatency,direct,22161
NavierStokes,direct,10769
PdfJS,direct,5742
Mandreel,direct,7977
MandreelLatency,direct,17370
Gameboy,direct,14184
CodeLoad,direct,8537
Box2D,direct,7014
zlib,direct,23331
Typescript,direct,14144
Score (version 9),direct,10922
Richards,direct,9616
DeltaBlue,direct,16291
Crypto,direct,9586
RayTrace,direct,22991
EarleyBoyer,direct,15040
RegExp,direct,2000
Splay,direct,7791
SplayLatency,direct,21448
NavierStokes,direct,10758
PdfJS,direct,5830
Mandreel,direct,7947
MandreelLatency,direct,17250
Gameboy,direct,14146
CodeLoad,direct,8428
Box2D,direct,7494
zlib,direct,23341
Typescript,direct,14163
Score (version 9),direct,10912
Richards,direct,9637
DeltaBlue,direct,16774
Crypto,direct,9529
RayTrace,direct,23092
EarleyBoyer,direct,15015
RegExp,direct,2002
Splay,direct,7611
SplayLatency,direct,20901
NavierStokes,direct,10758
PdfJS,direct,5753
Mandreel,direct,7925
MandreelLatency,direct,17310
Gameboy,direct,14033
CodeLoad,direct,8472
Box2D,direct,8125
zlib,direct,23359
Typescript,direct,14180
Score (version 9),direct,10942
Richards,direct,9634
DeltaBlue,direct,16860
Crypto,direct,9556
RayTrace,direct,23508
EarleyBoyer,direct,14900
RegExp,direct,2024
Splay,direct,7709
SplayLatency,direct,20751
NavierStokes,direct,10758
PdfJS,direct,5819
Mandreel,direct,7962
MandreelLatency,direct,17370
Gameboy,direct,14197
CodeLoad,direct,8405
Box2D,direct,8053
zlib,direct,23356
Typescript,direct,14018
Score (version 9),direct,10966
Richards,direct,9627
DeltaBlue,direct,16900
Crypto,direct,9592
RayTrace,direct,23189
EarleyBoyer,direct,15148
RegExp,direct,2017
Splay,direct,7856
SplayLatency,direct,22089
NavierStokes,direct,10769
PdfJS,direct,5887
Mandreel,direct,8000
MandreelLatency,direct,17370
Gameboy,direct,14287
CodeLoad,direct,8579
Box2D,direct,6890
zlib,direct,23299
Typescript,direct,14351
Score (version 9),direct,10963
Richards,direct,9637
DeltaBlue,direct,16715
Crypto,direct,9511
RayTrace,direct,23212
EarleyBoyer,direct,15212
RegExp,direct,1982
Splay,direct,7856
SplayLatency,direct,20811
NavierStokes,direct,10769
PdfJS,direct,5758
Mandreel,direct,7947
MandreelLatency,direct,17250
Gameboy,direct,14127
CodeLoad,direct,8410
Box2D,direct,7546
zlib,direct,23291
Typescript,direct,14007
Score (version 9),direct,10905
Richards,direct,9630
DeltaBlue,direct,16536
Crypto,direct,9562
RayTrace,direct,22940
EarleyBoyer,direct,15073
RegExp,direct,1988
Splay,direct,7742
SplayLatency,direct,21184
NavierStokes,direct,10758
PdfJS,direct,5699
Mandreel,direct,7955
MandreelLatency,direct,17131
Gameboy,direct,14115
CodeLoad,direct,8501
Box2D,direct,7428
zlib,direct,23299
Typescript,direct,14170
Score (version 9),direct,10884
Richards,direct,9634
DeltaBlue,direct,16761
Crypto,direct,9557
RayTrace,direct,23139
EarleyBoyer,direct,14974
RegExp,direct,2004
Splay,direct,7986
SplayLatency,direct,20890
NavierStokes,direct,10758
PdfJS,direct,5688
Mandreel,direct,7947
MandreelLatency,direct,17370
Gameboy,direct,14108
CodeLoad,direct,8441
Box2D,direct,7553
zlib,direct,23299
Typescript,direct,14041
Score (version 9),direct,10917
Richards,direct,9634
DeltaBlue,direct,16708
Crypto,direct,9543
RayTrace,direct,23212
EarleyBoyer,direct,15067
RegExp,direct,2009
Splay,direct,7799
SplayLatency,direct,22191
NavierStokes,direct,10769
PdfJS,direct,5841
Mandreel,direct,7970
MandreelLatency,direct,17250
Gameboy,direct,14064
CodeLoad,direct,8584
Box2D,direct,6931
zlib,direct,23309
Typescript,direct,14401
Score (version 9),direct,10930
Richards,direct,9623
DeltaBlue,direct,16662
Crypto,direct,9570
RayTrace,direct,23162
EarleyBoyer,direct,15095
RegExp,direct,2005
Splay,direct,8011
SplayLatency,direct,21212
NavierStokes,direct,10758
PdfJS,direct,5915
Mandreel,direct,7985
MandreelLatency,direct,17250
Gameboy,direct,14027
CodeLoad,direct,8438
Box2D,direct,8005
zlib,direct,23313
Typescript,direct,14200
Score (version 9),direct,10996
Richards,direct,9623
DeltaBlue,direct,16787
Crypto,direct,9573
RayTrace,direct,23286
EarleyBoyer,direct,15155
RegExp,direct,1998
Splay,direct,7717
SplayLatency,direct,20699
NavierStokes,direct,10769
PdfJS,direct,5635
Mandreel,direct,7962
MandreelLatency,direct,17014
Gameboy,direct,14064
CodeLoad,direct,8471
Box2D,direct,7576
zlib,direct,23320
Typescript,direct,14058
Score (version 9),direct,10886
Richards,direct,9627
DeltaBlue,direct,16781
Crypto,direct,9592
RayTrace,direct,23236
EarleyBoyer,direct,14958
RegExp,direct,1994
Splay,direct,8068
SplayLatency,direct,21212
NavierStokes,direct,10758
PdfJS,direct,5830
Mandreel,direct,7955
MandreelLatency,direct,17250
Gameboy,direct,14153
CodeLoad,direct,8483
Box2D,direct,7553
zlib,direct,23320
Typescript,direct,14197
Score (version 9),direct,10960
Richards,direct,9637
DeltaBlue,direct,16787
Crypto,direct,9565
RayTrace,direct,23286
EarleyBoyer,direct,14771
RegExp,direct,2026
Splay,direct,7513
SplayLatency,direct,17514
NavierStokes,direct,10758
PdfJS,direct,5841
Mandreel,direct,7940
MandreelLatency,direct,17131
Gameboy,direct,14102
CodeLoad,direct,8492
Box2D,direct,7471
zlib,direct,23327
Typescript,direct,14131
Score (version 9),direct,10779
Richards,direct,9620
DeltaBlue,direct,16734
Crypto,direct,9589
RayTrace,direct,23632
EarleyBoyer,direct,15103
RegExp,direct,2021
Splay,direct,7783
SplayLatency,direct,21002
NavierStokes,direct,10758
PdfJS,direct,5672
Mandreel,direct,7970
MandreelLatency,direct,17250
Gameboy,direct,14083
CodeLoad,direct,8584
Box2D,direct,6500
zlib,direct,23284
Typescript,direct,14046
Score (version 9),direct,10837
Richards,direct,9630
DeltaBlue,direct,16536
Crypto,direct,9540
RayTrace,direct,23263
EarleyBoyer,direct,15107
RegExp,direct,1998
Splay,direct,7995
SplayLatency,direct,20994
NavierStokes,direct,10758
PdfJS,direct,5683
Mandreel,direct,8000
MandreelLatency,direct,17370
Gameboy,direct,14127
CodeLoad,direct,8585
Box2D,direct,7413
zlib,direct,23366
Typescript,direct,14290
Score (version 9),direct,10934
Richards,direct,9630
DeltaBlue,direct,16609
Crypto,direct,9533
RayTrace,direct,23236
EarleyBoyer,direct,15140
RegExp,direct,2004
Splay,direct,7800
SplayLatency,direct,20729
NavierStokes,direct,10758
PdfJS,direct,5715
Mandreel,direct,7962
MandreelLatency,direct,17310
Gameboy,direct,14140
CodeLoad,direct,8397
Box2D,direct,8615
zlib,direct,23274
Typescript,direct,14116
Score (version 9),direct,10986
Richards,direct,9641
DeltaBlue,direct,16860
Crypto,direct,9484
RayTrace,direct,23337
EarleyBoyer,direct,15194
RegExp,direct,1975
Splay,direct,8345
SplayLatency,direct,17645
NavierStokes,direct,10758
PdfJS,direct,5747
Mandreel,direct,7992
MandreelLatency,direct,17310
Gameboy,direct,14134
CodeLoad,direct,8488
Box2D,direct,7531
zlib,direct,23370
Typescript,direct,14293
Score (version 9),direct,10866
Richards,direct,9630
DeltaBlue,direct,16834
Crypto,direct,9528
RayTrace,direct,23532
EarleyBoyer,direct,15136
RegExp,direct,1976
Splay,direct,7776
SplayLatency,direct,20542
NavierStokes,direct,10758
PdfJS,direct,5693
Mandreel,direct,7992
MandreelLatency,direct,17431
Gameboy,direct,14134
CodeLoad,direct,8596
Box2D,direct,6986
zlib,direct,23313
Typescript,direct,14170
Score (version 9),direct,10874
Richards,direct,9627
DeltaBlue,direct,16893
Crypto,direct,9562
RayTrace,direct,23582
EarleyBoyer,direct,14897
RegExp,direct,2009
Splay,direct,7791
SplayLatency,direct,21332
NavierStokes,direct,10769
PdfJS,direct,5836
Mandreel,direct,7947
MandreelLatency,direct,17370
Gameboy,direct,14210
CodeLoad,direct,8424
Box2D,direct,7494
zlib,direct,23320
Typescript,direct,14238
Score (version 9),direct,10955
Richards,direct,9616
DeltaBlue,direct,16649
Crypto,direct,9565
RayTrace,direct,23166
EarleyBoyer,direct,14911
RegExp,direct,1984
Splay,direct,7986
SplayLatency,direct,20980
NavierStokes,direct,10769
PdfJS,direct,5797
Mandreel,direct,7977
MandreelLatency,direct,17250
Gameboy,direct,14089
CodeLoad,direct,8425
Box2D,direct,7501
zlib,direct,23316
Typescript,direct,14163
Score (version 9),direct,10917
Richards,indirect,9623
DeltaBlue,indirect,16715
Crypto,indirect,9530
RayTrace,indirect,23532
EarleyBoyer,indirect,15039
RegExp,indirect,2000
Splay,indirect,7986
SplayLatency,indirect,21039
NavierStokes,indirect,10758
PdfJS,indirect,5808
Mandreel,indirect,7940
MandreelLatency,indirect,17190
Gameboy,indirect,14039
CodeLoad,indirect,8459
Box2D,indirect,7538
zlib,indirect,23316
Typescript,indirect,14091
Score (version 9),indirect,10935
Richards,indirect,9630
DeltaBlue,indirect,16649
Crypto,indirect,9504
RayTrace,indirect,23411
EarleyBoyer,indirect,15112
RegExp,indirect,2005
Splay,indirect,8320
SplayLatency,indirect,18881
NavierStokes,indirect,10758
PdfJS,indirect,5548
Mandreel,indirect,7932
MandreelLatency,indirect,17250
Gameboy,indirect,13977
CodeLoad,indirect,8524
Box2D,indirect,7508
zlib,indirect,23327
Typescript,indirect,14055
Score (version 9),indirect,10860
Richards,indirect,9652
DeltaBlue,indirect,16530
Crypto,indirect,9592
RayTrace,indirect,23582
EarleyBoyer,indirect,15073
RegExp,indirect,2011
Splay,indirect,7978
SplayLatency,indirect,20839
NavierStokes,indirect,10769
PdfJS,indirect,5813
Mandreel,indirect,7992
MandreelLatency,indirect,17431
Gameboy,indirect,14102
CodeLoad,indirect,8510
Box2D,indirect,7576
zlib,indirect,23363
Typescript,indirect,14111
Score (version 9),indirect,10960
Richards,indirect,9641
DeltaBlue,indirect,16622
Crypto,indirect,9581
RayTrace,indirect,23559
EarleyBoyer,indirect,14983
RegExp,indirect,2030
Splay,indirect,7685
SplayLatency,indirect,21166
NavierStokes,indirect,10769
PdfJS,indirect,5904
Mandreel,indirect,8000
MandreelLatency,indirect,17431
Gameboy,indirect,14140
CodeLoad,indirect,8522
Box2D,indirect,7568
zlib,indirect,23359
Typescript,indirect,14266
Score (version 9),indirect,10970
Richards,indirect,9637
DeltaBlue,indirect,16596
Crypto,indirect,9592
RayTrace,indirect,23139
EarleyBoyer,indirect,14889
RegExp,indirect,2034
Splay,indirect,7701
SplayLatency,indirect,18707
NavierStokes,indirect,10769
PdfJS,indirect,5584
Mandreel,indirect,7992
MandreelLatency,indirect,17492
Gameboy,indirect,14178
CodeLoad,indirect,8400
Box2D,indirect,8085
zlib,indirect,23327
Typescript,indirect,13984
Score (version 9),indirect,10864
Richards,indirect,9630
DeltaBlue,indirect,16787
Crypto,indirect,9484
RayTrace,indirect,23384
EarleyBoyer,indirect,14989
RegExp,indirect,2002
Splay,indirect,7856
SplayLatency,indirect,21033
NavierStokes,indirect,10769
PdfJS,indirect,5797
Mandreel,indirect,7955
MandreelLatency,indirect,17310
Gameboy,indirect,14184
CodeLoad,indirect,8525
Box2D,indirect,7982
zlib,indirect,23316
Typescript,indirect,14098
Score (version 9),indirect,10973
Richards,indirect,9623
DeltaBlue,indirect,16344
Crypto,indirect,9609
RayTrace,indirect,23532
EarleyBoyer,indirect,14952
RegExp,indirect,2024
Splay,indirect,7505
SplayLatency,indirect,18617
NavierStokes,indirect,10769
PdfJS,indirect,5758
Mandreel,indirect,7955
MandreelLatency,indirect,17250
Gameboy,indirect,13996
CodeLoad,indirect,8525
Box2D,indirect,7561
zlib,indirect,23338
Typescript,indirect,14181
Score (version 9),indirect,10821
Richards,indirect,9652
DeltaBlue,indirect,16635
Crypto,indirect,9516
RayTrace,indirect,23162
EarleyBoyer,indirect,15038
RegExp,indirect,2007
Splay,indirect,7750
SplayLatency,indirect,21850
NavierStokes,indirect,10769
PdfJS,indirect,5858
Mandreel,indirect,7992
MandreelLatency,indirect,17310
Gameboy,indirect,14027
CodeLoad,indirect,8552
Box2D,indirect,7576
zlib,indirect,23341
Typescript,indirect,14152
Score (version 9),indirect,10958
Richards,indirect,9630
DeltaBlue,indirect,16457
Crypto,indirect,9554
RayTrace,indirect,22866
EarleyBoyer,indirect,15037
RegExp,indirect,2002
Splay,indirect,7669
SplayLatency,indirect,21181
NavierStokes,indirect,10769
PdfJS,indirect,5672
Mandreel,indirect,7962
MandreelLatency,indirect,17492
Gameboy,indirect,14172
CodeLoad,indirect,8519
Box2D,indirect,7508
zlib,indirect,23352
Typescript,indirect,14240
Score (version 9),indirect,10902
Richards,indirect,9637
DeltaBlue,indirect,16675
Crypto,indirect,9579
RayTrace,indirect,23236
EarleyBoyer,indirect,15064
RegExp,indirect,2002
Splay,indirect,8043
SplayLatency,indirect,21298
NavierStokes,indirect,10758
PdfJS,indirect,5753
Mandreel,indirect,7947
MandreelLatency,indirect,17310
Gameboy,indirect,14127
CodeLoad,indirect,8434
Box2D,indirect,8085
zlib,indirect,23348
Typescript,indirect,13966
