Benchmark,calls,score
Richards,direct,7615
DeltaBlue,direct,12476
Crypto,direct,9980
RayTrace,direct,15567
EarleyBoyer,direct,8007
RegExp,direct,1799
Splay,direct,6619
SplayLatency,direct,19509
NavierStokes,direct,10851
PdfJS,direct,4598
Mandreel,direct,7331
MandreelLatency,direct,15016
Gameboy,direct,10562
CodeLoad,direct,6594
Box2D,direct,4228
zlib,direct,26109
Typescript,direct,10911
Score (version 9),direct,8855
Richards,direct,7569
DeltaBlue,direct,12814
Crypto,direct,10008
RayTrace,direct,15435
EarleyBoyer,direct,7962
RegExp,direct,1804
Splay,direct,6479
SplayLatency,direct,19380
NavierStokes,direct,10841
PdfJS,direct,3971
Mandreel,direct,7389
MandreelLatency,direct,15016
Gameboy,direct,10507
CodeLoad,direct,6611
Box2D,direct,4236
zlib,direct,26180
Typescript,direct,10934
Score (version 9),direct,8776
Richards,direct,7692
DeltaBlue,direct,12728
Crypto,direct,9985
RayTrace,direct,15524
EarleyBoyer,direct,7990
RegExp,direct,1818
Splay,direct,6570
SplayLatency,direct,14914
NavierStokes,direct,10737
PdfJS,direct,3982
Mandreel,direct,6733
MandreelLatency,direct,13584
Gameboy,direct,10432
CodeLoad,direct,6647
Box2D,direct,4286
zlib,direct,26230
Typescript,direct,10897
Score (version 9),direct,8564
Richards,direct,7519
DeltaBlue,direct,12820
Crypto,direct,9994
RayTrace,direct,15478
EarleyBoyer,direct,7888
RegExp,direct,1802
Splay,direct,6633
SplayLatency,direct,17440
NavierStokes,direct,10769
PdfJS,direct,3905
Mandreel,direct,7325
MandreelLatency,direct,14971
Gameboy,direct,10499
CodeLoad,direct,6567
Box2D,direct,4175
zlib,direct,26167
Typescript,direct,10953
Score (version 9),direct,8698
Richards,direct,7685
DeltaBlue,direct,12562
Crypto,direct,9963
RayTrace,direct,15656
EarleyBoyer,direct,7969
RegExp,direct,1813
Splay,direct,6536
SplayLatency,direct,18791
NavierStokes,direct,10779
PdfJS,direct,3990
Mandreel,direct,7331
MandreelLatency,direct,14881
Gameboy,direct,10528
CodeLoad,direct,6669
Box2D,direct,4179
zlib,direct,26194
Typescript,direct,11017
Score (version 9),direct,8764
Richards,direct,7604
DeltaBlue,direct,12338
Crypto,direct,9968
RayTrace,direct,15672
EarleyBoyer,direct,7923
RegExp,direct,1784
Splay,direct,6413
SplayLatency,direct,19023
NavierStokes,direct,10769
PdfJS,direct,3817
Mandreel,direct,7350
MandreelLatency,direct,15016
Gameboy,direct,10570
CodeLoad,direct,6630
Box2D,direct,4290
zlib,direct,26020
Typescript,direct,10878
Score (version 9),direct,8721
Richards,direct,7699
DeltaBlue,direct,12800
Crypto,direct,10052
RayTrace,direct,15715
EarleyBoyer,direct,8058
RegExp,direct,1808
Splay,direct,6544
SplayLatency,direct,19059
NavierStokes,direct,10801
PdfJS,direct,4586
Mandreel,direct,7395
MandreelLatency,direct,15245
Gameboy,direct,10596
CodeLoad,direct,6554
Box2D,direct,4195
zlib,direct,26122
Typescript,direct,10876
Score (version 9),direct,8872
Richards,direct,7657
DeltaBlue,direct,12681
Crypto,direct,10027
RayTrace,direct,15524
EarleyBoyer,direct,7969
RegExp,direct,1802
Splay,direct,6594
SplayLatency,direct,18444
NavierStokes,direct,10769
PdfJS,direct,3959
Mandreel,direct,6726
MandreelLatency,direct,13848
Gameboy,direct,10524
CodeLoad,direct,6663
Box2D,direct,4211
zlib,direct,26136
Typescript,direct,10970
Score (version 9),direct,8672
Richards,direct,7713
DeltaBlue,direct,12681
Crypto,direct,10083
RayTrace,direct,15583
EarleyBoyer,direct,8073
RegExp,direct,1813
Splay,direct,6690
SplayLatency,direct,18140
NavierStokes,direct,10790
PdfJS,direct,3978
Mandreel,direct,7448
MandreelLatency,direct,15107
Gameboy,direct,11169
CodeLoad,direct,6634
Box2D,direct,4253
zlib,direct,26212
Typescript,direct,10947
Score (version 9),direct,8824
Richards,direct,7569
DeltaBlue,direct,12701
Crypto,direct,10041
RayTrace,direct,15730
EarleyBoyer,direct,7983
RegExp,direct,1792
Splay,direct,6666
SplayLatency,direct,19975
NavierStokes,direct,10801
PdfJS,direct,4030
Mandreel,direct,7441
MandreelLatency,direct,15199
Gameboy,direct,10566
CodeLoad,direct,6665
Box2D,direct,4232
zlib,direct,26216
Typescript,direct,10967
Score (version 9),direct,8836
Richards,direct,7558
DeltaBlue,direct,12708
Crypto,direct,10082
RayTrace,direct,15567
EarleyBoyer,direct,7998
RegExp,direct,1808
Splay,direct,6658
SplayLatency,direct,16102
NavierStokes,direct,10801
PdfJS,direct,4046
Mandreel,direct,7350
MandreelLatency,direct,14971
Gameboy,direct,10524
CodeLoad,direct,6686
Box2D,direct,4316
zlib,direct,26216
Typescript,direct,10981
Score (version 9),direct,8724
Richards,direct,7685
DeltaBlue,direct,12767
Crypto,direct,10037
RayTrace,direct,15346
EarleyBoyer,direct,7792
RegExp,direct,1792
Splay,direct,6462
SplayLatency,direct,17232
NavierStokes,direct,10705
PdfJS,direct,3890
Mandreel,direct,7382
MandreelLatency,direct,15061
Gameboy,direct,10541
CodeLoad,direct,6644
Box2D,direct,4240
zlib,direct,26064
Typescript,direct,10831
Score (version 9),direct,8686
Richards,direct,7696
DeltaBlue,direct,12496
Crypto,direct,9962
RayTrace,direct,15540
EarleyBoyer,direct,7954
RegExp,direct,1784
Splay,direct,6674
SplayLatency,direct,19108
